FirstName,LastName,Email,Phone,Address1,City,State,Zip
coa118,test119,coatest@mindfireinc.com,679011,12311,78911,TX,1234511
coa,atm2,coatatm2@mindfireinc.com,(111) 222-3333,,,CA,92606
coa,atm1,coaatm1@mindfireinc.com,6614333450,Address1,City,CA,90204
coa,atm3,coaatm3@mindfireinc.com,6614333450,1234,adf,CA,90204
admint,123,admint@mindfireinc.com,,,,,
Jack,Frost,jackfrost@mindfireinc.com,949-271-6588,30 Corporate Park,Irvine,CA,92606
Roger,Rabbit,rogerrabbit@mindfireinc.com,222-333-4444,,,AZ,55555
Tooth,Fairy,toothfairy@mindfireinc.com,,,,,
Wreck,Ralph,WreckRalph@mindfireinc.com,555.555.1234,,Phoenix,AZ,92010
King,Candy,kingcandy@mindfireinc.com,555-555-1212,,Phoenix,AZ,555662
Tooth,Fairy,toothfairy2@mindfireinc.com,111--111,aaa,Irvine,CA,92604
062401f,062401l,062401@gmail.com,,,,,
070202,070202,070202@gmail.com,070202,070202,070202,AL,070202
070203,070203,070203@gmail.com,070203,070203,070203,AK,070203
Jackie,Chan,070204@gmail.com,070204,070204,070204,AZ,070204
070501,070501,070501@gmail.com,070501,070501,070501,ME,070501
Jack,Campbell,070602@gmail.com,070602,070602,070602,AK,92604
coa,mf,boonsom@mindfiremail.info,070603P,070603A,070603C,DE,070603Z
boonsom,coa,boonsom@mindfireinc.com,1234567890,123 Jumbo St.,Irvine,CA,92606
Carol,Hicks,chicks@gmail.com,999-999-9999,123 Main Street,San Diego,CA,92109
Roger,Jones,rodger.jone1234@gmail.com,,,,CA,
test01,test02,test03@yahoo.com,,,,CA,
test21,test22,test23@hotmail.com,,,,CA,
Mary,Trotta,mtrotta@mindfiremail.info,,,,,
Joe,Smith,joe@joe.com,,,,,
John,Shind,paagla123@gmail.com,17148898900,123 Any Street,Mytown,CA,92606
Kushal,Dutta,kushal25@cox.net,17142713588,,,,
Pinky,Dutta,pinky-dutta@cox.net,19492317874,,,,
,Samy,kdutta@mindfireinc.com,1 714 2713588,,,,
Kerim,Smith,Ksmith@prografica.com,,,,,
Rick,Ayers,rick@rick.com,,,,,
Gary,T,gary@gary.com,,,,,
David,Seltzer,d.seltzer@duggal.com,,123 Main Street,New York,NY,11111
Kathryn,Kram,k.kram@duggal.com,,456 Main Street,New York,NY,11111
Heather,Griffin,heather@duggal.com,,789 Main Street,New York,NY,11111
Shawn,Johnson,s.johnson@duggal.com,,111 Main Street,New York,NY,11111
Mike,Lambert,m.lambert@duggal.com,,222 Main Street,New York,NY,11111
Fiona,Sheridan,fiona@duggal.com,,333 Main Street,Pittsburgh,PA,11111
Kim,Leonard,kimberly@duggal.com,,444 Main Street,Pittsburgh,PA,11111
Marc,Lovci,mlovci@duggal.com,,555 Main Street,Pittsburgh,PA,11111
Lindsey,Gumann,lindsey@duggal.com,,666 Main Street,Pittsburgh,PA,11111
Heidi,Hernandez,h.hernandez@duggal.com,,777 Main Street,Pittsburgh,PA,11111
first16041901,last16041901,test160419+1@gmail.com,,,,,
first16041902,last16041902,test160419+2@gmail.com,,,,,
first16041903,last16041903,test160419+3@gmail.com,,,,,
first16041904,last16041904,test16041904@gmail.com,,,,,
first16041905,last16041905,test16041905@gmail.com,,,,,
first16041906,last16041906,test16041906@gmail.com,,,,,
first16041907,last16041907,test16041907@gmail.com,,,,,
first16041908,last16041908,test16041908@gmail.com,,,,,
first16041909,last16041909,test16041909@gmail.com,,,,,
first16041910,last16041910,test16041910@gmail.com,,,,,
first16041911,last16041911,test16041911@gmail.com,,,,,
first16041912,last16041912,test16041912@gmail.com,,,,,
first16041913,last16041913,test16041913@gmail.com,,,,,
first16041914,last16041914,test16041914@gmail.com,,,,,
first16041915,last16041915,test16041915@gmail.com,,,,,
Mike,Walker,mwalker@gmail.com,,,,,
Halls,Cherry,hcherry@gmail.com,,,,,
email,test5,emailtest5@gmail.com,,,,,
email,test2,emailtest2@gmail.com,,,,,
email,test7,emailtest7@gmail.com,,,,,
email,test3,emailtest3@gmail.com,,,,,
email,test1,emailtest1@gmail.com,,,,,
jiew,test,jiew12345@gmail.com,,,,,
coa,test,coa12345@yahoo.com,,,,,
coa,test,Array,,,,,
coa,test901,coatest901@gmail.com,,,,,
coa,test902,coatest902@gmail.com,,,,,
coa,test903,coatest903@gmail.com,,,,,
,Samy,kdutta+atta@mindfiremain.info,,,,,
